,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
1099,3.1,4919,17021,3.6,33300,1076,10.9,0,22235,90.232143,0.06302094
1100,9.5,6206,16060,3.6,371900,1533,15.9,9.45549738,37597,69.277487,0.1530777
1101,14.6,3861,23721,3.3,170700,1041,12,2.752,65625,76.28,0.3781404
1102,12.3,4505,18110,3.4,366700,1018,4.2,0.84536082,29980,81.515464,0.27303
1103,2.2,5093,14726,3.8,0,1061,13.4,0.56424581,17281,85.268156,0.04319654
1104,0,1345,11419,4.5,0,260,9.7,0,20357,89.641509,0
1105,0,4182,13919,3.6,0,946,0,0,21372,87.642857,0
1106,2.1,4480,17330,3.5,250400,1054,15.3,4.96507666,31275,77.798978,0.046875
1107,10.6,5853,14122,4.3,475600,1259,5.7,0,40089,86.489627,0.1811037
1108,8.6,3824,18648,4.7,394300,875,7.3,3.08497854,25370,75.435193,0.2248954
1109,8.8,1845,36695,4.5,81300,413,8.1,0.27826087,31150,85.33913,0.4769648
1110,8.7,5040,13955,3.9,455600,1123,17.8,0,40345,83.555556,0.172619
1111,1.4,3540,13575,5.5,593300,652,0,0.2,30938,89.668421,0.03954802
1112,21.9,5031,42054,3.9,583900,863,4.7,0.81578947,21735,86.105263,0.4353011
1113,13.7,2261,25287,5.5,707100,524,18.6,0.47150259,68036,80.632124,0.6059266
1114,6.2,2756,51365,4.3,695500,702,0,0.44642857,31957,84.1875,0.2249637
1115,0,347,10600,2.8,0,84,0,3.19947507,0,80.013998,0
1116,6.9,2969,24766,4,537200,720,0,0.68396226,65771,78.231132,0.2324015
1117,30,3174,31552,3.8,994500,604,1.2,0,32730,92.976744,0.9451796
1118,14.3,3607,25029,3.5,508600,883,15.5,0.42288557,42563,85.079602,0.3964513
1119,50.9,2790,69558,3.5,743000,510,16.8,0,51625,94.116279,1.824373
1120,13.1,3684,24508,3.4,591100,967,4.1,0.35294118,34957,93.219251,0.3555917
1121,16.8,4706,84858,3.1,819000,947,8.3,0,59306,91.688581,0.3569911
1122,22.2,3885,25047,4.3,603200,970,14.8,0.08333333,64813,90.106481,0.5714286
1123,54.5,2122,27022,3.5,914700,375,9.4,0.22977346,49402,88.63754,2.568332
1124,16.1,1668,34816,6.6,671000,507,3.6,0.31914894,71406,81.909574,0.9652278
1125,24.8,4143,44421,3.5,723000,704,7.2,0.12195122,54655,89.119512,0.5986
1126,15.2,2627,28357,5.1,512500,726,9,1.02955665,83047,81.837438,0.5786068
1127,20.4,4304,10779,4.1,753200,968,24.1,0,44327,89.653846,0.4739777
1128,21.9,3344,20963,3.8,547500,687,15.7,0.88043478,41314,86.016304,0.6549043
1129,9.5,3868,21118,4.4,840000,933,22.8,0.03960396,50500,90.519802,0.245605
1130,19.9,2660,18364,5.9,460700,633,3.4,1.96808511,70833,77.398936,0.7481203
1131,28.1,3873,35823,3.9,680900,818,4.5,0,61466,93.041026,0.7255358
1132,0,2926,19177,3.7,416100,751,14.7,0,51856,91.006536,0
1133,11.7,3536,15437,3.4,0,978,20.4,7.74468085,23807,54.659574,0.3308824
1134,43.7,3107,89540,3.3,918200,592,27.4,0,166125,90.318919,1.406501
1135,12.1,5189,31301,4.1,457500,1221,6.9,1.30388693,25000,81.056537,0.2331856
1136,35.8,4114,19395,3.9,534200,805,12.9,0.34415584,47417,83.123377,0.8701993
1137,10.1,3832,11466,4,676800,888,3,2.62557078,50766,83.305936,0.2635699
1138,3.1,4409,21948,4,491400,1050,21.3,0.91666667,50333,87.761111,0.07031073
1139,13.6,2407,16860,3.5,596200,524,10.7,0,26597,84.826923,0.5650187
1140,11.7,4509,18253,4.2,552400,935,18.3,0.50253807,62750,77.51269,0.259481
1141,20,2152,29942,4.8,828000,470,30,1.91509434,51863,85.334906,0.929368
1142,18.8,3113,21144,4,578900,842,10.2,0,46344,91.972222,0.603919
1143,9.4,2531,23961,3.9,719400,599,8.3,3.02298851,53750,86.298851,0.3713947
1144,14.8,2620,19382,3.8,455600,427,6.1,0,41875,94.027933,0.5648855
1145,23.8,2894,15330,5.6,668100,621,5.5,2.25388601,61750,81.632124,0.8223912
1146,22.1,5848,18548,3.5,170000,1532,8.2,0.77021277,41125,86.017021,0.377907
